country_code,year,Country,Time,gdp_per_capita,primary_education,secondary_education,tertiary_education,adolescent_fertility
IBD,YR2020,IBRD only,2020,6191.51088391849,101.020111083984,86.5367431640625,45.7753410339355,23.9375182631276
HIC,YR2024,High income,2024,50302.6052129514,99.8059997558594,103.173843383789,82.0356521606445,8.66118326905916
HIC,YR2023,High income,2023,48608.1947665895,99.7090682983398,103.099243164062,81.3826599121094,9.09013732877731
HIC,YR2022,High income,2022,46553.1150181383,99.6370315551758,103.741172790527,80.0000076293945,9.30285149549731
HIC,YR2021,High income,2021,45081.6648348438,100.129592895508,104.398483276367,80.3660430908203,9.53903336011988
HIC,YR2020,High income,2020,40108.2348602411,100.789581298828,104.233299255371,78.8942108154297,10.2949946270383
HPC,YR2024,Heavily indebted poor countries (HIPC),2024,1216.37508472564,100.075187683105,42.031810760498,,94.3176568586643
HPC,YR2023,Heavily indebted poor countries (HIPC),2023,1155.90445279924,99.677490234375,42.0036888122559,,95.6420667852112
HPC,YR2022,Heavily indebted poor countries (HIPC),2022,1121.48387311982,99.3296585083008,41.903938293457,,96.758097875144
HPC,YR2021,Heavily indebted poor countries (HIPC),2021,1061.41414950431,101.633941650391,42.0259895324707,9.09300994873047,97.9968565430763
HPC,YR2020,Heavily indebted poor countries (HIPC),2020,962.590226473892,102.423561096191,41.8020210266113,8.93181037902832,99.5834944462284
FCS,YR2024,Fragile and conflict affected situations,2024,1527.95809514037,94.2756881713867,46.8620300292969,,82.0259631689096
FCS,YR2023,Fragile and conflict affected situations,2023,1682.75058845476,94.2381362915039,47.0949516296387,,83.5466467951791
FCS,YR2022,Fragile and conflict affected situations,2022,1850.91743054769,93.3247604370117,47.2565994262695,,84.266369756939
FCS,YR2021,Fragile and conflict affected situations,2021,1711.40128929758,94.550651550293,47.081901550293,,85.1906362403995
FCS,YR2020,Fragile and conflict affected situations,2020,1618.4798041022,95.4652328491211,46.512809753418,,86.1461977449049
EUU,YR2024,European Union,2024,43304.9642561331,102.439392089844,106.954109191895,79.4997329711914,6.4721241657185
EUU,YR2023,European Union,2023,41566.5741100785,102.439392089844,106.954109191895,79.4997329711914,6.66348515606251
EUU,YR2022,European Union,2022,38066.8844892624,101.426223754883,107.638740539551,79.6330184936523,6.82231052982655
EUU,YR2021,European Union,2021,39206.9791776084,101.443717956543,107.976928710938,77.8575668334961,7.21085909480265
EUU,YR2020,European Union,2020,34694.7035869195,100.829528808594,108.119239807129,75.0071029663086,7.75239458777
TEC,YR2024,Europe & Central Asia (IDA & IBRD countries),2024,13337.4386956337,97.0421981811523,98.6327209472656,88.6189193725586,16.8825519480388
TEC,YR2023,Europe & Central Asia (IDA & IBRD countries),2023,12129.8641155432,97.3087692260742,97.7369766235352,82.1417770385742,17.4938959313816
TEC,YR2022,Europe & Central Asia (IDA & IBRD countries),2022,11421.1364427001,98.5650329589844,98.0531005859375,81.2411270141602,17.5668888038366
TEC,YR2021,Europe & Central Asia (IDA & IBRD countries),2021,10014.5108823837,99.1017608642578,97.4853134155273,79.2664413452148,18.2856410753853
TEC,YR2020,Europe & Central Asia (IDA & IBRD countries),2020,8478.35038656806,98.7056427001953,97.6678695678711,76.050666809082,18.3560639946834
ECA,YR2024,Europe & Central Asia (excluding high income),2024,9793.69205809432,96.6787490844727,101.207878112793,85.1110763549805,18.9545774497552
ECA,YR2023,Europe & Central Asia (excluding high income),2023,8617.04840986329,97.1202392578125,99.7431793212891,79.1041488647461,19.4437485303471
ECA,YR2022,Europe & Central Asia (excluding high income),2022,7266.02243154199,98.0470428466797,99.5128402709961,79.0034332275391,19.4758117890242
ECA,YR2021,Europe & Central Asia (excluding high income),2021,6673.97429035651,98.5894775390625,98.3634719848633,77.9448471069336,20.4367270989465
ECA,YR2020,Europe & Central Asia (excluding high income),2020,5776.19343817718,99.0000915527344,98.5530319213867,74.5084381103516,20.2292908917458
ECS,YR2024,Europe & Central Asia,2024,31555.5207890657,99.9414596557617,103.311096191406,84.8905563354492,11.3517630678688
ECS,YR2023,Europe & Central Asia,2023,29988.9022903108,100.080513000488,102.803550720215,81.5205917358398,11.7294242254528
